EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,CLASE
-13,13,2,-3,-9,-6,-3,-20,A
20,13,7,16,60,3,4,-3,A
-21,9,2,0,4,-14,-39,3,A
22,-8,0,0,-3,6,22,36,A
-12,-24,-1,0,-1,7,-9,6,A
12,7,2,1,-5,-9,-7,10,A
-17,-11,-1,-3,-6,3,7,21,A
-36,-8,0,-4,-5,3,6,-56,A
6,6,4,4,4,18,26,0,A
-27,-8,-5,-5,-9,-11,-15,-9,A
-16,-4,10,2,-2,-18,19,8,A
33,-7,-12,-10,-8,-12,-30,-8,A
14,-8,-10,-2,-1,-2,2,16,A
-8,0,-10,-5,-12,-18,-7,-17,A
-3,-4,5,4,-2,-1,-33,0,A
-13,-4,-14,-4,-9,-4,30,-2,A
18,3,-1,-2,-2,-1,-1,11,A
-22,-5,0,4,2,4,5,-4,A
4,0,-4,-1,0,0,2,8,A
-15,-1,-3,-4,-3,0,-3,-18,A
28,9,5,2,-1,2,10,25,A
-13,-1,-2,-4,-2,0,1,-9,A
4,2,-1,0,-1,-2,0,1,A
-8,1,2,2,2,4,1,-9,A
18,-2,-2,-3,0,-1,1,-8,B
44,16,4,9,1,1,1,11,B
-7,-6,-1,2,0,-1,0,-2,B
-26,-6,2,-7,-4,-3,-1,7,B
56,1,-3,-1,-4,-2,-1,12,B
-23,1,0,11,2,-1,2,10,B
-16,-17,-4,5,0,0,-1,-10,B
17,-2,-1,-23,-19,0,0,-13,B
2,2,-1,-4,-3,0,19,15,B
0,2,-3,1,3,7,-19,-1,B
1,4,1,4,3,6,6,2,B
-5,-20,-4,-4,-2,-5,11,-1,B
4,-2,1,2,1,-4,17,8,B
-2,-9,-2,-3,-1,-3,24,3,B
-1,4,-1,-2,-3,-1,4,5,B
4,-5,1,-1,-2,-7,-13,5,B
0,0,2,4,-1,-1,1,1,B
-9,-5,-3,3,21,0,-2,-1,B
8,3,-5,-2,-3,0,-1,3,B
-17,-11,-7,-3,4,-1,-2,-2,B
-17,-6,2,0,2,-1,-3,-6,B
3,-3,-1,-5,-5,-4,1,2,B
0,2,1,3,1,-3,-8,-4,B
-6,-7,-4,0,9,3,-3,-4,B
-21,-4,2,20,10,-1,-4,-3,C
7,-1,-1,-36,-17,-1,-4,-4,C
-14,-8,-11,-42,-16,-10,-9,-29,C
1,4,1,13,12,7,9,-17,C
-29,17,1,-13,1,3,0,-15,C
45,13,1,-3,-18,-2,0,-1,C
-1,-3,2,7,-3,-6,-35,-5,C
38,13,8,22,5,5,9,38,C
-4,9,9,0,0,0,0,-3,C
5,10,5,2,-1,-1,-1,1,C
8,-1,0,0,1,0,-4,-5,C
2,2,1,-6,-5,-4,-5,0,C
-19,-2,-1,-1,1,-1,-1,-8,C
-3,-3,-3,-3,-3,-4,-7,-1,C
-9,-5,-3,-9,-4,-5,-9,-11,C
2,-4,0,6,0,1,1,-2,C
0,-4,-1,3,2,5,-4,2,C
0,-7,-1,-1,5,11,30,7,C
-6,-3,-4,-2,-1,-3,10,-3,C
11,-3,0,2,-4,-4,-8,10,C
-2,-10,-2,1,2,7,-19,-3,C
10,-10,2,0,4,9,20,15,C
0,-3,-4,-2,2,2,-22,-5,C
11,-2,-3,-1,-1,5,0,-3,C
2,2,-3,-2,-2,0,-1,-2,D
-3,-5,-2,-5,-5,-1,-3,-3,D
0,-4,1,1,1,-2,-3,-2,D
1,8,5,1,1,-1,0,-1,D
-9,-1,-1,0,-2,-2,-4,-5,D
0,7,6,-2,0,0,-2,0,D
5,1,-1,-2,-3,1,-1,-1,D
-5,-7,-6,-1,-2,-1,0,0,D
-36,-1,-2,10,1,-7,-6,-2,D
16,6,2,2,3,-2,-5,-4,D
14,-10,0,-7,-3,1,9,8,D
-29,-9,-2,0,2,-2,-8,-24,D
43,7,-2,2,-2,0,-7,8,D
15,-9,-4,11,4,-3,-8,3,D
11,6,1,0,3,0,3,-1,D
-9,3,4,4,0,-2,-4,5,D
-6,-5,-1,-2,-2,0,0,-2,D
2,0,0,0,-1,2,6,6,D
-2,-3,-1,-1,1,0,1,1,D
0,-1,-1,-2,0,-1,-1,-4,D
0,-2,-3,-2,-2,-2,-5,-2,D
1,-1,-1,0,3,3,1,0,D
-2,0,-2,-2,-2,0,0,-1,D
-2,-2,0,-1,0,1,1,-3,D
14,-4,-2,-2,-3,-2,-5,-5,E
-1,3,0,-4,-4,-2,2,-3,E
-11,-2,2,16,11,2,4,-7,E
-3,-3,-2,-4,-5,-3,0,1,E
18,3,2,12,9,2,7,16,E
-11,-9,-4,1,1,-2,-7,-4,E
46,14,2,-4,-7,-3,0,17,E
-8,-10,-7,-5,-3,2,6,16,E
6,11,7,1,-1,-7,-3,1,E
-8,-17,-22,-3,-4,-9,7,-10,E
8,-6,9,0,2,6,12,5,E
22,16,11,3,1,-1,18,-5,E
-1,2,-6,-5,-5,-11,-43,-1,E
2,-26,-9,-3,-4,-4,16,2,E
2,-12,-10,-5,-3,-7,-7,-6,E
-10,-3,-2,0,-1,-4,-16,-9,E
-22,-26,0,-3,1,-10,-18,-14,E
-6,-8,9,72,3,-8,8,4,E
-2,8,13,-2,1,6,5,23,E
-1,-30,-22,-19,-10,-6,-1,-4,E
-12,-8,-2,-1,-2,-3,-11,-27,E
9,-6,-11,-47,0,0,0,45,E
-2,0,-1,-9,0,0,9,14,E
10,-1,5,9,0,-10,-12,11,E
32,-3,-1,14,-3,-4,-6,14,F
-51,6,-5,-3,-7,-9,-8,-19,F
40,9,14,11,-1,1,5,45,F
18,10,-6,-14,-1,-3,-13,-45,F
-31,-7,-15,-36,-8,0,4,-10,F
43,1,4,40,-3,-7,4,45,F
-53,-9,-2,-17,-6,-4,-4,-37,F
-32,-8,0,-4,-1,-4,-7,-15,F
9,5,2,3,0,0,-1,0,F
-4,-5,-3,-3,-2,-1,-3,-5,F
-6,-2,0,0,1,-1,-2,-3,F
-9,-2,-1,-1,-2,0,-2,-4,F
4,3,1,0,-2,-2,0,0,F
-5,-2,0,-5,-2,-3,0,-1,F
12,3,-1,-2,-1,-1,2,3,F
4,-2,-4,-1,0,-1,-3,-2,F
5,-3,-11,-12,-11,-8,5,2,F
-5,-10,0,2,-2,1,1,0,F
-15,-11,-3,-6,-4,0,17,-4,F
-1,-14,0,-3,-1,-3,-1,4,F
8,16,4,-1,3,9,13,-6,F
7,1,-3,-3,-1,8,24,5,F
-1,-7,0,-3,-5,-5,-11,-9,F
0,-10,1,-4,-4,-4,-6,3,F
0,0,3,-9,-11,3,-4,-2,G
1,2,0,14,2,2,3,7,G
2,-2,4,4,23,-1,9,-4,G
-6,-5,-4,0,8,7,-1,-2,G
-3,2,7,21,14,1,1,-1,G
9,2,-1,4,14,3,0,1,G
0,-3,3,-6,-7,-2,5,9,G
-1,-2,4,-5,-7,4,-2,1,G
-4,-2,-2,-2,-2,-2,-1,-4,G
-1,-2,1,2,2,1,-3,-2,G
2,-3,-1,-1,-1,-3,-2,2,G
-4,-4,-2,-4,-4,-5,-5,-7,G
-2,-2,-1,0,0,1,-1,-7,G
-4,-6,-5,-4,-3,0,4,4,G
-2,2,-2,-1,-3,-3,-5,-6,G
-3,-3,-1,-2,-2,-2,2,-10,G
-16,3,3,0,-3,-1,-1,-11,G
6,-2,-9,-4,-1,8,7,-2,G
-8,-1,-1,-1,1,0,-3,-6,G
-19,-21,-1,-1,-3,-1,0,1,G
-3,-3,-9,-5,-3,-2,-18,-11,G
-7,2,-25,-5,4,13,18,8,G
34,37,5,-1,2,12,15,2,G
5,9,7,1,5,8,-6,-13,G
30,8,1,-4,-12,2,10,17,H
-6,-5,-6,-6,-12,-7,-12,-14,H
6,-5,-3,7,-19,-4,-7,-16,H
33,-1,0,-4,-4,-10,-10,-25,H
-15,-1,3,8,14,-2,2,22,H
-43,-1,-1,-7,-30,-3,-9,10,H
-33,-6,-3,-11,-14,-1,1,-13,H
81,20,-10,-25,45,-7,7,37,H
-2,0,1,3,0,-2,-1,3,H
0,-4,-2,-8,-17,-7,-1,5,H
-3,-3,-1,-2,-2,-2,-4,0,H
1,0,1,0,1,3,5,1,H
-2,-1,-1,-3,-5,-4,-3,1,H
15,4,2,2,9,-1,-2,7,H
-18,-5,1,-1,-4,-4,-8,-13,H
18,1,-3,-4,-3,2,6,13,H
3,2,21,2,5,10,3,2,H
-4,-10,8,-1,-5,-11,-1,-5,H
-6,-4,-11,-3,2,-1,7,-2,H
-1,-1,-3,-3,-2,5,4,-4,H
-2,-6,-6,-2,-1,1,-26,-17,H
-2,-2,-8,1,4,1,-6,-12,H
4,-1,3,0,1,4,-5,1,H
-2,9,1,0,4,21,6,-3,H
23,8,2,-1,-6,1,-6,-25,I
36,-3,0,3,3,-1,-6,7,I
57,28,3,5,13,3,12,76,I
-27,-1,1,1,8,3,2,-16,I
-1,-9,0,3,1,-1,-3,2,I
6,-13,-6,-5,2,0,-6,-2,I
12,6,1,0,-5,-4,-12,-81,I
27,19,8,4,10,1,1,41,I
-4,0,2,0,0,-1,-2,-4,I
-2,-2,-3,-3,-2,1,-2,-1,I
-1,-4,-2,-3,-6,-3,-1,1,I
-1,4,4,0,3,1,0,-1,I
3,-4,0,2,4,2,-2,-1,I
7,0,-3,-3,-11,-5,-1,3,I
-8,0,3,3,8,2,1,-2,I
7,1,-2,2,1,3,3,3,I
2,-8,-10,3,1,5,41,17,I
0,-7,-3,-1,1,6,36,7,I
0,2,1,0,3,1,-10,2,I
2,5,-5,-3,-3,-1,-11,-5,I
-1,-1,-3,-4,-2,1,-1,-5,I
-2,0,-4,-1,-4,-6,-30,-8,I
1,-1,-2,1,0,-2,28,-6,I
1,-3,-3,-3,0,6,5,7,I
20,-6,-4,-1,-2,7,8,77,L
-21,-12,-6,-3,-3,5,24,-62,L
10,-4,-4,-3,-1,-7,-2,21,L
0,-2,0,-2,-3,0,12,43,L
-8,-3,-6,0,1,9,21,62,L
-13,0,1,2,1,-4,1,-27,L
-12,0,-1,1,-1,-11,-54,-70,L
13,2,2,1,5,10,25,53,L
-25,-23,-10,-7,-2,-1,1,-8,L
1,3,2,1,-2,-2,-6,-3,L
7,1,-1,-1,-2,-2,-6,-5,L
12,10,3,2,1,0,2,7,L
-1,1,-3,-1,-1,-2,0,-2,L
12,1,0,2,-1,2,10,9,L
-11,1,1,-4,-1,1,13,0,L
-4,-5,-6,-5,-4,0,7,2,L
-28,-28,-7,1,1,9,11,11,L
-2,-1,-1,-4,-4,3,4,7,L
2,1,0,4,4,1,-3,14,L
13,8,2,0,-2,-23,5,-5,L
3,4,0,0,-1,0,14,14,L
13,-6,-4,1,1,0,15,-7,L
3,2,-3,-3,-5,-6,29,20,L
16,-1,-1,-2,-3,-11,-16,13,L
24,0,-1,1,-6,-7,-6,-11,M
29,3,1,-9,-3,6,9,13,M
-15,-4,-3,-41,-42,-5,-7,-13,M
-26,-1,2,24,9,-2,0,-16,M
2,3,1,2,28,0,-6,-13,M
-10,1,-2,-30,-3,7,11,12,M
-18,-4,-2,6,9,-5,-10,-20,M
7,0,0,10,-19,-2,-2,23,M
-1,0,0,2,1,-3,-1,-1,M
-1,0,-1,-1,5,1,-1,-3,M
0,-1,-1,2,-2,-1,0,0,M
-2,0,-2,2,-1,0,-2,-1,M
-1,-2,-3,-1,-2,-2,-4,-4,M
-5,-6,-8,-6,-4,3,-1,-4,M
-1,-1,-1,1,6,11,4,0,M
-2,0,-2,0,2,-2,-6,-2,M
11,1,-2,-1,-4,-3,9,5,M
-12,-2,-1,1,-1,-5,-9,-12,M
-10,-2,-4,-3,-3,-14,-14,-5,M
-2,1,1,-2,-5,-1,2,-1,M
25,3,-6,-3,-4,-13,15,7,M
10,3,-1,-1,-1,-5,-5,-1,M
0,-1,0,-7,-7,-29,11,-1,M
-7,-2,-2,0,0,0,-4,-2,M
-12,-2,6,0,0,-2,0,-1,N
104,57,19,3,1,0,-2,10,N
-53,30,5,0,-1,5,7,7,N
37,18,-1,-2,-6,-1,-4,17,N
0,-6,-2,-4,-4,3,1,4,N
20,0,-5,-1,-2,0,1,-2,N
3,-10,-1,-1,-1,-2,-3,4,N
-19,-11,-2,-3,-3,-1,-4,-5,N
-1,-3,-4,0,-1,5,3,-1,N
-1,-1,-2,-3,-1,-1,-1,-1,N
1,0,-2,1,8,0,5,4,N
-1,-1,-4,-4,-2,-1,-3,-1,N
0,-3,0,0,0,2,3,1,N
-2,-3,-2,-3,-5,1,3,-2,N
-2,-2,-1,0,-1,14,4,-2,N
-1,-2,-2,-2,-3,6,5,-2,N
9,1,0,-2,-5,-6,-2,10,N
4,-2,1,0,-1,-3,0,7,N
5,0,-2,-3,2,15,4,18,N
-14,1,-3,-1,-8,-26,-12,-9,N
-12,-11,2,-3,-1,-8,-9,-23,N
4,-3,-1,-2,0,3,-3,5,N
17,1,1,3,-1,-15,3,10,N
-11,-8,-5,-3,0,12,4,-6,N
1,-6,-1,-5,0,-5,-12,-5,O
10,-4,-2,-14,-8,9,15,-8,O
-61,5,-3,-6,-3,-4,-12,-42,O
-5,-1,-5,-1,-1,-2,-1,-6,O
-19,1,-3,-3,-4,-1,7,-16,O
1,-8,-2,2,3,2,-19,11,O
-1,-17,-4,-8,-5,-1,-11,-19,O
-4,-2,-3,-3,-4,-6,-1,-16,O
10,12,3,0,-2,-2,-1,1,O
-1,-10,-9,-2,-2,1,0,0,O
0,-4,-3,-2,0,-2,0,1,O
12,-2,-4,1,1,1,1,4,O
5,11,6,1,-1,0,2,0,O
-9,-3,-2,-2,-4,-2,0,-3,O
-8,-9,-4,1,-2,-1,-1,-3,O
-8,-2,-3,-1,0,-1,-1,-4,O
1,0,-1,-3,-8,-34,-3,-6,O
2,0,1,1,-3,-17,-4,-2,O
-1,-2,-4,-8,-10,-16,-13,-4,O
2,0,-1,-3,-3,-3,-27,-8,O
-4,-3,-3,-3,-4,-1,-12,-4,O
0,0,0,0,-3,1,13,1,O
-1,1,-1,0,0,5,-4,2,O
-2,-2,-1,-1,-2,4,3,2,O
7,-6,1,-2,9,3,-4,-3,P
8,-1,-1,-5,-12,5,7,10,P
-2,16,3,3,-2,4,2,-3,P
2,0,4,6,10,2,-11,-3,P
19,21,-1,0,-4,-7,-5,11,P
-3,-4,-4,1,0,-3,-5,-10,P
2,-23,-5,-8,1,1,0,4,P
10,-9,2,2,3,-4,-7,3,P
-9,-8,-16,-2,-8,-24,-7,-5,P
5,1,3,0,4,3,8,0,P
5,-4,-8,-6,-2,-6,-3,-4,P
1,-1,0,-1,-1,0,-3,-2,P
18,-2,3,0,3,8,-2,5,P
-9,-2,3,1,-11,-33,-11,-12,P
-2,2,-8,-3,-4,-1,-4,-6,P
-32,-2,16,5,-1,9,2,-2,P
2,-2,-2,-1,0,0,-1,0,P
-1,3,1,0,2,0,0,0,P
3,1,0,-4,-4,-3,-4,-1,P
-8,-4,-2,-3,-2,0,0,-2,P
0,-1,-1,-1,1,-2,-1,-1,P
3,-1,-2,-1,0,-1,-2,-1,P
0,-2,0,1,0,-1,-1,-2,P
0,-2,-3,1,-1,-1,0,-1,P
-19,2,-2,-5,-20,-3,-3,-9,R
-18,4,-2,-3,-28,5,-6,-27,R
-7,12,1,19,-22,-8,1,7,R
2,3,0,3,-2,-11,-7,-10,R
1,-3,1,-6,-26,-2,0,-5,R
-14,-3,-1,4,23,-2,-5,-17,R
9,-4,0,-12,-10,3,-2,-3,R
-6,-4,-4,-5,-3,-2,3,2,R
8,-3,-3,-2,0,2,1,5,R
3,1,0,-3,0,-1,1,-1,R
-6,-2,-2,-1,0,-3,-7,-8,R
2,-1,0,2,-1,-2,-7,-1,R
-1,-3,-2,-4,-2,0,0,-2,R
1,-1,-1,-4,-2,-2,-2,-7,R
7,3,5,6,2,0,-1,4,R
2,2,0,-1,-2,-1,4,4,R
-5,-3,1,4,5,5,3,5,R
0,-3,-6,0,-5,-19,-6,-5,R
-4,20,5,-4,-7,3,4,-14,R
-1,2,11,7,0,-12,-3,-10,R
-32,-2,-11,-4,0,1,1,-6,R
-4,-2,6,1,2,10,9,-9,R
3,2,17,4,3,15,9,3,R
-6,-5,-10,-4,-5,-21,-5,-10,R
-34,-6,0,-1,-2,0,28,40,S
3,18,9,3,1,1,11,-8,S
15,28,5,0,0,-7,-11,-3,S
-7,-27,-6,-3,1,-3,7,-4,S
36,4,1,-1,0,-1,-1,2,S
-21,-18,3,1,-3,-24,-1,23,S
-28,-20,-2,-3,-2,-8,21,-15,S
1,-26,-4,-1,-1,13,-1,22,S
-12,-6,-2,-2,-1,0,-2,-5,S
1,0,0,2,-1,0,-1,-3,S
-10,-4,-4,-2,0,1,-4,-10,S
-10,-6,-4,-1,-1,-3,-1,-10,S
-6,-1,-2,0,0,-2,-2,-10,S
-2,-1,-2,-1,-2,-2,0,0,S
-1,2,4,3,-2,-3,-5,-9,S
-13,-4,-1,-2,-1,-1,-1,-11,S
4,3,-2,3,12,16,3,-1,S
12,-1,-4,-5,-5,-10,-34,1,S
10,-4,-3,0,3,5,-31,2,S
22,-9,-1,-1,-1,5,50,11,S
2,1,3,5,13,11,13,8,S
-23,1,1,-1,7,18,46,6,S
22,2,10,4,10,11,23,26,S
-9,2,19,4,4,5,-43,-8,S
-13,-3,-5,1,-2,-23,-42,-5,T
14,9,5,-7,-6,0,0,-9,T
4,-13,-4,-5,-6,8,11,6,T
14,27,1,5,8,4,0,22,T
-1,-29,-9,-4,-6,-2,-11,-19,T
-17,-5,-3,4,7,19,15,7,T
7,6,2,8,7,0,-45,-20,T
-3,-10,-2,2,2,-9,12,-4,T
20,2,-3,1,1,-2,-4,19,T
4,-1,-1,0,2,2,5,11,T
-5,-9,-3,-3,-5,-5,-12,-6,T
3,-3,2,2,2,-1,-4,2,T
-4,3,-2,-3,-3,-2,0,-1,T
-10,-7,-3,-2,-1,0,2,1,T
4,-12,-3,0,1,0,-3,3,T
-3,-2,-1,1,-1,-1,0,1,T
-4,4,4,-10,-25,-61,-26,-5,T
-22,-9,6,6,2,0,-1,-22,T
0,-11,-10,-2,1,1,-7,-17,T
-15,-3,1,-2,-2,-6,-2,-17,T
7,-1,-2,0,-5,-15,-7,-10,T
3,-13,-12,-8,-11,7,0,3,T
-7,-2,1,-2,-9,4,-2,3,T
-2,-1,3,-3,-2,8,8,-9,T
-10,6,-2,-4,-5,-2,-2,-3,U
-71,3,0,-6,-6,-3,-4,11,U
-49,1,-5,-14,-9,-4,5,13,U
-16,-5,-1,1,0,1,6,-3,U
51,14,-1,0,-4,-3,-4,4,U
-38,4,-3,-3,-10,-2,0,5,U
-103,-14,-1,-1,-6,-3,1,20,U
10,-15,-2,-5,-2,-2,-13,-54,U
2,-1,0,-1,-1,1,-1,0,U
1,-3,0,2,-1,0,-1,-2,U
14,-1,-2,-2,-2,-1,-2,4,U
3,1,-2,-2,-2,-2,-1,1,U
2,2,2,0,-1,-1,-5,0,U
1,-3,-2,0,0,-2,1,0,U
-1,1,-1,-2,2,-1,-2,-3,U
3,-2,-1,-4,-1,-1,-2,-1,U
2,-3,-7,4,9,7,4,3,U
3,6,-3,0,2,7,25,7,U
-8,0,5,-2,-8,-26,-14,-4,U
1,6,-9,-2,-7,-16,6,-7,U
-4,-1,12,-2,2,-4,1,1,U
-9,-3,-10,-1,-3,2,5,2,U
-1,-1,4,-4,3,4,-6,2,U
-18,-5,-7,-3,-1,-1,6,-8,U
77,19,8,9,6,1,2,21,V
-20,-1,2,-10,-1,2,-5,-60,V
-16,-10,-2,5,-11,-4,-13,10,V
-83,-4,1,5,2,1,-5,-42,V
28,0,1,-4,2,0,-3,-2,V
23,3,-2,-2,3,0,8,-19,V
-1,-8,-8,-11,-9,-1,10,26,V
6,5,-4,8,4,-1,-4,3,V
1,-3,-3,-1,0,-3,-1,0,V
5,0,-1,-1,-3,1,4,4,V
-19,-12,-7,-4,-5,-2,-9,-12,V
26,4,0,1,2,5,10,16,V
35,15,2,0,8,3,3,6,V
-1,4,2,0,0,2,2,0,V
-9,-13,-3,2,4,2,3,-4,V
0,-8,0,2,2,0,4,3,V
-8,6,-13,-12,-13,-22,1,-4,V
9,-5,5,0,2,1,-9,0,V
-5,-8,-2,-3,-4,-4,9,0,V
8,-1,-5,-1,1,16,-26,-6,V
-9,24,-1,4,-1,1,39,-14,V
-3,18,7,-4,-3,8,9,1,V
4,-9,-7,2,15,69,34,2,V
7,-24,2,-9,-6,-2,-23,-5,V
5,-1,-4,-6,3,1,4,2,W
-45,0,9,7,-6,-4,-8,-19,W
-60,-7,-3,-2,-1,-3,-7,-25,W
36,10,0,3,4,-2,3,14,W
-20,-1,-4,2,-2,-1,0,-7,W
33,3,-2,-1,-2,-1,4,18,W
-16,-3,-1,-6,-4,0,3,-6,W
-8,0,4,-3,-9,1,10,8,W
18,16,3,1,0,-2,-1,0,W
-26,-13,-4,-1,-1,0,-2,-5,W
33,8,-1,-1,-3,-6,-2,4,W
-1,-30,-11,-2,0,1,-2,0,W
-20,10,-1,-1,-1,-3,-3,-7,W
-18,5,-3,-1,-1,-1,-3,-10,W
-17,2,-3,-4,-5,-7,-6,-6,W
0,4,0,0,0,-1,-3,-5,W
-4,-8,2,7,5,2,10,0,W
1,-4,-1,3,1,-5,25,5,W
-20,-25,-3,-1,-6,-14,-93,-21,W
-30,-37,-4,0,2,7,11,1,W
0,7,1,2,1,9,65,5,W
-26,-24,28,3,3,5,-11,2,W
2,-1,-13,3,-2,-3,38,5,W
-5,-26,-14,-6,-3,-5,-11,-4,W
-3,0,1,4,11,1,1,2,Y
12,-2,5,2,1,2,-1,12,Y
-10,-3,-2,-4,-1,0,-2,-19,Y
-1,-3,-3,-13,-11,0,2,-1,Y
10,4,-1,5,5,1,1,5,Y
-9,-11,-5,-1,1,-2,-5,-9,Y
10,0,1,26,17,2,3,28,Y
-4,-4,-4,-8,2,1,2,-3,Y
-4,-13,0,-4,-3,-10,-5,-4,Y
2,16,18,0,5,18,16,7,Y
-1,-8,-6,-6,-3,-5,-2,4,Y
-1,10,-5,0,6,10,7,2,Y
-2,9,31,3,4,1,-7,-6,Y
-2,23,10,-1,1,9,-4,-11,Y
0,-4,-1,3,3,6,-2,-6,Y
-3,12,37,9,4,3,-3,-8,Y
3,2,-1,-2,2,-1,1,0,Y
-2,-2,-1,2,4,1,-2,-3,Y
-4,-6,-3,-2,-2,-3,-1,-1,Y
-3,-3,-3,-3,-2,-3,-5,-6,Y
-2,-1,-2,0,-3,0,0,-1,Y
1,-1,0,0,-1,1,1,0,Y
1,6,3,3,5,2,-2,-6,Y
-3,0,-2,-6,-12,-4,-2,-5,Y
